rounds,n,mean,sd,ci95_low,ci95_high
1,5000,3.9912,1.3789499122782214,3.95297745851157,4.02942254148843
2,5000,7.3532,2.370142036810227,7.287503014541131,7.418896985458869
4,5000,18.041,6.775463111852652,17.853193744246845,18.228806255753156
5,5000,32.58,12.02587727963615,32.2466596885334,32.9133403114666
8,5000,54.0444,11.094351967064766,53.736880252855755,54.35191974714425
12,5000,63.4918,6.018403193156727,63.324978374576,63.658621625424
16,5000,63.9664,5.608846839821401,63.81093069750508,64.12186930249491
