phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,28,160000,80043,0.50026875,0.5,0.831717060220035,0.4978156840933204,0.5027218061672586,0.972968640268904,0.9537270656946426
calibration,feistel_null,16,bit_a019_d019_off+000,29,160000,79939,0.49961875,0.5,0.7622710425523216,0.4971656962295253,0.5020718175868627,0.972968640268904,0.9319814704770883
calibration,feistel_null,16,bit_a019_d019_off+000,30,160000,80054,0.5003375,0.5,0.7890843137530401,0.4978844330518041,0.5027905547172951,0.972968640268904,0.9413852473201317
calibration,feistel_null,16,bit_a019_d019_off+000,31,160000,79896,0.49935,0.5,0.6048073066621008,0.4968969524572177,0.5018030710985913,0.972968640268904,0.8604093943067397
calibration,feistel_null,16,bit_a019_d019_off+000,32,160000,79741,0.49838125,0.5,0.19618388970826908,0.4959282307799642,0.5008343278830604,0.972968640268904,0.49262457837485907
calibration,feistel_null,16,bit_a019_d019_off+000,33,160000,79869,0.49918125,0.5,0.5140787987133538,0.49672820672937545,0.5016343229418838,0.972968640268904,0.8088762905385285
calibration,feistel_null,16,bit_a019_d019_off+000,34,160000,80044,0.500275,0.5,0.8278187910945984,0.4978219339967231,0.5027280560373577,0.972968640268904,0.9530992152921844
calibration,feistel_null,16,bit_a019_d019_off+000,35,160000,80294,0.5018375,0.5,0.1422398495916211,0.49938442185778564,0.5042905115517539,0.972968640268904,0.40014726918082416
calibration,feistel_null,16,bit_a019_d019_off+000,36,160000,79749,0.49843125,0.5,0.21038759320665812,0.4959782290930566,0.5008843277579826,0.972968640268904,0.5135971760416829
calibration,feistel_null,16,bit_a019_d019_off+000,37,160000,80429,0.50268125,0.5,0.032152946624722636,0.5002281752509271,0.5051342275813588,0.972968640268904,0.120779960908716
calibration,feistel_null,16,bit_a019_d019_off+000,38,160000,79734,0.4983375,0.5,0.18434316571334713,0.49588448227610554,0.5007905779724062,0.972968640268904,0.4742899539961494
calibration,feistel_null,16,bit_a019_d019_off+000,39,160000,80091,0.50056875,0.5,0.6509089562312896,0.49811567988844807,0.5030217995002191,0.972968640268904,0.8836805345335522
calibration,feistel_null,16,bit_a019_d019_off+000,40,160000,80090,0.5005625,0.5,0.6545142224271197,0.4981094299670538,0.5030155496481116,0.972968640268904,0.885678658838918
