phase,rounds,job_id,panel,alpha_hex_text,delta_hex_text,alpha_description,delta_description,controls_present,hespn_present,hespn_keys_completed,hespn_trials,hespn_mean_returned_hw,hespn_mean_hw_theoretical_z,hespn_mean_returned_active_bytes,hespn_mean_active_theoretical_z,hespn_exact_successes,hespn_exact_probability,hespn_weight_leq_48_probability,hespn_weight_leq_48_binomial_z,hespn_active_bytes_leq_14_probability,hespn_active_bytes_leq_14_binomial_z,hespn_hw_distribution_p,hespn_active_distribution_p,hespn_output_bits_min_within_job_q,hespn_byte_activity_min_within_job_q,hespn_minimum_broad_bh_q,hespn_broad_flag_q_le_0_05,hespn_degenerate_rate,feistel_null_present,feistel_null_keys_completed,feistel_null_trials,feistel_null_mean_returned_hw,feistel_null_mean_hw_theoretical_z,feistel_null_mean_returned_active_bytes,feistel_null_mean_active_theoretical_z,feistel_null_exact_successes,feistel_null_exact_probability,feistel_null_weight_leq_48_probability,feistel_null_weight_leq_48_binomial_z,feistel_null_active_bytes_leq_14_probability,feistel_null_active_bytes_leq_14_binomial_z,feistel_null_hw_distribution_p,feistel_null_active_distribution_p,feistel_null_output_bits_min_within_job_q,feistel_null_byte_activity_min_within_job_q,feistel_null_minimum_broad_bh_q,feistel_null_broad_flag_q_le_0_05,feistel_null_degenerate_rate,spn_null_present,spn_null_keys_completed,spn_null_trials,spn_null_mean_returned_hw,spn_null_mean_hw_theoretical_z,spn_null_mean_returned_active_bytes,spn_null_mean_active_theoretical_z,spn_null_exact_successes,spn_null_exact_probability,spn_null_weight_leq_48_probability,spn_null_weight_leq_48_binomial_z,spn_null_active_bytes_leq_14_probability,spn_null_active_bytes_leq_14_binomial_z,spn_null_hw_distribution_p,spn_null_active_distribution_p,spn_null_output_bits_min_within_job_q,spn_null_byte_activity_min_within_job_q,spn_null_minimum_broad_bh_q,spn_null_broad_flag_q_le_0_05,spn_null_degenerate_rate,spn_minus_hespn_mean_returned_hw,spn_minus_hespn_mean_hw_theoretical_z,spn_minus_hespn_mean_returned_active_bytes,spn_minus_hespn_mean_active_theoretical_z,spn_minus_hespn_exact_probability,spn_minus_hespn_weight_leq_48_probability,spn_minus_hespn_active_bytes_leq_14_probability,spn_minus_hespn_degenerate_rate,feistel_minus_hespn_mean_returned_hw,feistel_minus_hespn_mean_hw_theoretical_z,feistel_minus_hespn_mean_returned_active_bytes,feistel_minus_hespn_mean_active_theoretical_z,feistel_minus_hespn_exact_probability,feistel_minus_hespn_weight_leq_48_probability,feistel_minus_hespn_active_bytes_leq_14_probability,feistel_minus_hespn_degenerate_rate
calibration,4,bit_a019_d019_off+000,bit_positions,'00001000000000000000000000000000,'00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",hespn;spn_null,True,8,159998,20.01508768859608,-3110.1835376995873,5.784172302153787,-16277.044993246778,2946,0.018412730159126988,0.9999937499218741,7337.929369381422,1.0,9511.153146967808,0.0,0.0,0.0,0.0,0.0,True,1.25e-05,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.02038750000007,1.4416139501489726,15.936762499999992,-1.1823114615823813,0,0.0,0.00294375,-0.13875702243480678,0.0019,1.281015783598658,0.9599846346979145,0.4415113275026721,0.7828310596257795,0.5117894364185361,0.9754221929616307,False,0.0,44.00529981140399,3111.6251516497364,10.152590197846205,16275.862681785196,-0.018412730159126988,-0.997049999921874,-0.9981,-1.25e-05,,,,,,,,
calibration,4,bit_a044_d044_off+000,bit_positions,'00000000000800000000000000000000,'00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,1.0,-4454.772721475249,1.0,-23946.816891096114,160000,1.0,1.0,7338.0212313541515,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.97553749999999,-1.7297599634784906,15.937299999999983,-0.3206268370633267,0,0.0,0.0029875,0.18323534207970849,0.0017125,-0.5054907493981631,0.2757421596601229,0.8669533655774215,0.39459494829981534,0.2883083143091094,0.9754221929616307,False,0.0,62.97553749999999,4453.042961511771,14.937299999999983,23946.49626425905,-1.0,-0.9970125,-0.9982875,0.0,,,,,,,,
calibration,4,bit_a068_d068_off+000,bit_positions,'00000000000000000800000000000000,'00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,11.137274999999992,-3737.959131949964,3.6023812500000036,-19774.8505463549,52673,0.32920625,1.0,7338.0212313541515,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.02302500000002,1.6281133636833183,15.9381,0.9618805111073956,0,0.0,0.0029625,-0.0007602947857288064,0.00173125,-0.32684009609848097,0.5865102490975633,0.4373483423234267,0.6447920986209598,0.9399889579884325,0.9754221929616307,False,0.0,52.88575000000003,3739.5872453136476,12.335718749999996,19775.812426866007,-0.32920625,-0.9970375,-0.99826875,0.0,,,,,,,,
calibration,4,bit_a093_d093_off+000,bit_positions,'00000000000000000000000400000000,'00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",hespn;spn_null,True,8,159996,19.50976899422486,-3145.8950796481295,5.791632290807279,-16264.98404678751,164,0.001025025625640641,1.0,7337.929505515469,1.0,9511.0937013318,0.0,0.0,0.0,0.0,0.0,True,2.5e-05,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.996187500000154,-0.26958446031647454,15.937162499999989,-0.5410577875155304,0,0.0,0.00308125,0.8732189803250984,0.001675,-0.8627920559975273,0.9601812211966052,0.628169634650517,0.2980711869133853,0.7684336209765789,0.9754221929616307,False,0.0,44.48641850577529,3145.625495187813,10.14553020919271,16264.442988999994,-0.001025025625640641,-0.99691875,-0.998325,-2.5e-05,,,,,,,,
calibration,4,bit_a118_d118_off+000,bit_positions,'00000000000000000000000000000200,'00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",hespn;spn_null,True,8,160000,1.0,-4454.772721475249,1.0,-23946.816891096114,160000,1.0,1.0,7338.0212313541515,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.01428124999983,1.0098368718697146,15.938293749999994,1.2724877594760067,0,0.0,0.00301875,0.4132298881615051,0.00183125,0.6259633881664902,0.7985832937032921,0.414440176828763,0.6853076336462561,0.1958349290695642,0.3727624427038272,False,0.0,63.014281249999826,4455.782558347119,14.938293749999994,23948.08937885559,-1.0,-0.99698125,-0.99816875,0.0,,,,,,,,
calibration,4,bytepos_ab15_db15_a07_d10_off+00,byte_positions,'00000000000000000000000000000007,'00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",hespn;spn_null,True,8,160000,15.92760000000002,-3399.2320027912174,4.491206249999987,-18349.944804214105,3241,0.02025625,1.0,7338.0212313541515,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00123749999996,0.08750446416896217,15.937056249999998,-0.7113907946764113,0,0.0,0.003,0.27523316051242713,0.00173125,-0.32684009609848097,0.5106742674859457,0.7949898369662951,0.07376926815232386,0.32105428715586826,0.9754221929616307,False,0.0,48.07363749999994,3399.3195072553863,11.44585000000001,18349.233413419428,-0.02025625,-0.997,-0.99826875,0.0,,,,,,,,
calibration,4,value_b00_a07_d10,byte_values,'07000000000000000000000000000000,'10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",hespn;spn_null,True,8,160000,21.846387500000006,-2980.710525026001,6.22417499999999,-15571.763359243945,3222,0.0201375,0.99999375,7337.9752324449355,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.99739375000009,-0.18428970484017537,15.93698750000002,-0.8216062698711881,0,0.0,0.00305,0.6432244342433017,0.00174375,-0.20773966056535959,0.9517658578658719,0.2718653677162054,0.7846158283258092,0.7998452106750811,0.9754221929616307,False,0.0,42.15100625000009,2980.526235321161,9.71281250000003,15570.941752974073,-0.0201375,-0.99694375,-0.99825625,0.0,,,,,,,,
calibration,4,value_b00_a0F_dF0,byte_values,'0F000000000000000000000000000000,'F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",hespn;spn_null,True,8,160000,22.830668750000005,-2911.1113303790244,6.22128124999998,-15576.40242879232,3463,0.02164375,0.9999375,7337.561242261988,1.0,9511.212592232278,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.01186874999989,0.8392473609130968,15.937100000000012,-0.6412536740526121,0,0.0,0.00280625,-1.1507330251947119,0.00185,0.8046140414661723,0.8895291163541098,0.37508153534943145,0.8691423431601797,0.7556000834705145,0.9754221929616307,False,0.0,41.18119999999989,2911.9505777399377,9.715818750000032,15575.761175118269,-0.02164375,-0.99713125,-0.99815,0.0,,,,,,,,
calibration,6,bit_a019_d019_off+000,bit_positions,'00001000000000000000000000000000,'00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",hespn;spn_null,True,8,160000,40.045868750000025,-1693.8128644307571,11.094493749999993,-7763.988878405639,4575,0.02859375,0.64514375,4726.341162776918,0.824325,7837.375071249789,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00681249999992,0.48171649467797356,15.937793750000012,0.47092066691451306,0,0.0,0.0030875,0.9192178895414577,0.001675,-0.8627920559975273,0.20538227445834165,0.49135220045558314,0.24149509386493567,0.1746880474424051,0.8889764615758666,False,0.0,23.9609437499999,1694.2945809254352,4.843300000000019,7764.459799072554,-0.02859375,-0.64205625,-0.82265,0.0,,,,,,,,
calibration,6,bit_a044_d044_off+000,bit_positions,'00000000000800000000000000000000,'00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,38.88866249999998,-1775.6397030914059,11.097731250000026,-7758.7987314810725,1512,0.00945,0.78739375,5773.276336541257,0.92616875,8807.745869755896,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00027499999996,0.01944543647975857,15.93726874999999,-0.370724780337563,0,0.0,0.0026375,-2.3927035740364135,0.0016,-1.5773946691962557,0.39862559058186003,0.265938619289404,0.35600556215577017,0.23132145016897132,0.8889764615758666,False,0.0,25.11161249999998,1775.6591485278857,4.839537499999965,7758.428006700735,-0.00945,-0.78475625,-0.9245687499999999,0.0,,,,,,,,
